entry,address_city,address_code,first_entry_date,krs,legal_form,name,name_short,nip,regon,industriesR,industriesN,ceo_name,industriesJ,industriesM,industriesP,industriesL,industriesC,industriesG,industriesK,industriesF,industriesH,industriesI,industriesS,industriesQ,nazwa_jednostki,kwota_wsparcia
ARTUS,Lwówek,64-310,2018-11-29,759691,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ARTUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ARTUS,7882027162.0,381908052.0,,,Andrzej Szymaniak,,,,,True,,,,,,,,ARTUS,12350
ARTUS,Seroki Wieś,96-515,2003-12-12,182232,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ARTUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ARTUS,8371666039.0,15622000.0,,,Robert Stanisław Sękulski,,,,,,,,,,,,,ARTUS,12350
ARTUS,Toruń,87-100,2015-04-22,554716,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ARTUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ARTUS,8792678146.0,361331912.0,,,Adam Piotr Placha,,,,,,True,,,,,,,ARTUS,12350
ARTUS,Toruń,87-100,2016-01-04,595187,SPÓŁKA KOMANDYTOWA,ARTUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,ARTUS,8791734836.0,870412230.0,,,,,,,,,True,,,,,,,ARTUS,12350
ARTUS,Czechowice-Dziedzice,43-502,2006-07-12,260416,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ARTUS AIRCRAFT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ARTUS AIRCRAFT,7010032399.0,140625792.0,,,Artur Rafał Szczepaniak,,,,,True,,,,,,,,ARTUS,12350
ARTUS,Maciejowice,08-480,2009-04-23,328199,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"""ARTUS II"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ARTUS II,8262142573.0,141710488.0,,,Leszek Stanisław Pawlonka,,,,,True,,,,,,,,ARTUS,12350
ARTUS,Maciejowice,08-480,2019-08-07,798052,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ARTUS V SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ARTUS V,8262206480.0,384075753.0,,,Daniel Dziubdziński,,,,,,True,,,,,,,ARTUS,12350
Astral Grzegorz Łapczyński,Warszawa,00-143,2001-07-02,22466,SPÓŁKA JAWNA,"PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE ""ASTRAL"" ANDRZEJ ŁAPCZYŃSKI,GRZEGORZ ŁAPCZYŃSKI","PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE ""ASTRAL"" ANDRZEJ ŁAPCZYŃSKI,GRZEGORZ ŁAPCZYŃSKI",,,,,,,,,,,,,,,,,,Astral Grzegorz Łapczyński,233600
ATMA spółka z ograniczoną odpowiedzialnością,Warszawa,02-892,2002-01-08,78741,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"""ATMA"" SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ",ATMA,5222666162.0,492734436.0,,,Marian Zbigniew Skrzypiec,,,,,,,,,,,,,ATMA spółka z ograniczoną odpowiedzialnością,415170
ATMA spółka z ograniczoną odpowiedzialnością,Warszawa,00-061,2016-11-09,644986,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,GEWE ATMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,GEWE ATMA,5252683372.0,365821949.0,,,Zygmunt Jan Bladowski,,True,,,,,,,,,,,ATMA spółka z ograniczoną odpowiedzialnością,415170
ATMA spółka z ograniczoną odpowiedzialnością,Pszczyna,43-200,2013-04-08,457122,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATMA,6381807374.0,243214922.0,,,Sławomir Stanisław Siedlaczek,,,,,,,,True,,,,,ATMA spółka z ograniczoną odpowiedzialnością,415170
ATMA spółka z ograniczoną odpowiedzialnością,Kraków,31-619,2016-11-04,645333,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATMA,6793136156.0,365794595.0,,,Małgorzata Kosiba,,,,,,,,,True,,,,ATMA spółka z ograniczoną odpowiedzialnością,415170
ATMA spółka z ograniczoną odpowiedzialnością,Suwałki,16-400,2003-06-12,164656,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PRZEDSIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ATMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PRZEDSIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ATMA,8441743013.0,790308157.0,,,Jan Chilmon,,,,,,,,,,,,,ATMA spółka z ograniczoną odpowiedzialnością,415170
ATMA spółka z ograniczoną odpowiedzialnością,Łąka,43-241,2013-08-20,473799,SPÓŁKA KOMANDYTOWA,ATMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,ATMA,6381808267.0,243343074.0,,,,,,,,,,,,,,,,ATMA spółka z ograniczoną odpowiedzialnością,415170
ATMA spółka z ograniczoną odpowiedzialnością,Toruń,87-100,2006-02-28,251959,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATMA FINANSE PERSONEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATMA FINANSE PERSONEL,8792474047.0,340135024.0,,,,,,,,,,,,,,,,ATMA spółka z ograniczoną odpowiedzialnością,415170
ATMA spółka z ograniczoną odpowiedzialnością,Kraków,30-127,2002-10-24,136774,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"""ATMA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ATMA,,691694020.0,,,,,,,,,,,,,,,,ATMA spółka z ograniczoną odpowiedzialnością,415170
ATMA spółka z ograniczoną odpowiedzialnością,Szczecin,71-402,2001-06-12,18305,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,STUDIO ATMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,STUDIO ATMA,,812370808.0,,,,,,,,,,,,,,,,ATMA spółka z ograniczoną odpowiedzialnością,415170
ATX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Warszawa,,2015-12-22,593772,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATX,5252641126.0,363330590.0,,,Kamil Patryk Błoński,,,,,,,,,True,,,,ATX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,36974
ATX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Stargard,73-110,2011-06-17,389453,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATX,8542392348.0,320998982.0,,,Aneta Pieczonka Gibka,,,,,,,,,,,,,ATX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,36974
ATX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,M. Nowy Sącz,33-300,2013-04-25,459389,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATX,7343519857.0,122845190.0,,,Maciej Henryk Berezowski,,,,,,,,,,,,,ATX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,36974
ATX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,,2011-01-31,377160,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATX FORMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATX FORMA,1231235258.0,142754192.0,,,,,,,,,,,,,,,,ATX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,36974
ATX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Praszka,46-320,2018-06-22,736819,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATX ENGINEERING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATX ENGINEERING,5761585212.0,380566017.0,,,Grzegorz Jan Siewiera,,True,,,,,,,,,,,ATX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,36974
ATX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Poznań,,2015-11-17,586773,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATX INVEST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ATX INVEST,7811919060.0,363005016.0,,,,True,,,,,,,,,,,,ATX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,36974
Audioline spółka z ograniczoną odpowiedzialnością,Orle,84-252,2013-01-24,448709,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"""AUDIOLINE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AUDIOLINE,5882398880.0,221819430.0,,,Łukasz Kończak,,,,,,,,,,,,,Audioline spółka z ograniczoną odpowiedzialnością,465972
Avant Art,Wrocław,53-614,2008-09-04,309792,FUNDACJA,"""AVANT ART""",AVANT ART,,,,,Kostas Grzegorz Georgakopulos,,,,,,,,,,,,,Avant Art,96000
BEAVER JAROSŁAW BOBEREK SPÓŁKA KOMANDYTOWA,Warszawa,02-564,2018-03-14,723490,SPÓŁKA KOMANDYTOWA,BEAVER JAROSŁAW BOBEREK SPÓŁKA KOMANDYTOWA,BEAVER JAROSŁAW BOBEREK,5213817704.0,369711896.0,True,,,,,,,,,,,,,,,BEAVER JAROSŁAW BOBEREK SPÓŁKA KOMANDYTOWA,38000
Bialska Orkiestra Dęta,Biała,48-210,2006-03-24,253735,STOWARZYSZENIE,BIALSKA ORKIESTRA DĘTA,BIALSKA ORKIESTRA DĘTA,7551863120.0,160069252.0,,,Mirosław Piotr Lasar,,,,,,,,,,,,,Bialska Orkiestra Dęta,8943
BOOKING PLACE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Warszawa,00-491,2009-11-06,341133,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,BOOKING PLACE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,BOOKING PLACE,7010207841.0,142100071.0,,,Ewa Dądajewska Kowalska,,,,,,,,,,,,,BOOKING PLACE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,150000
BOOKING.OOO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,Wrocław,54-613,2017-03-03,666359,SPÓŁKA KOMANDYTOWA,BOOKING.OOO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,BOOKING.OOO,8943098608.0,366731020.0,,True,,,,,,,,,,,,,,BOOKING.OOO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,382955
CENTRUM HOTELARSKO - GASTRONOMICZNE JACEK HEINRICH KARINA FURMAN MACIEJ FURMAN SPÓŁKA JAWNA,Biała Wieś,62-065,2007-03-12,275910,SPÓŁKA JAWNA,CENTRUM HOTELARSKO-GASTRONOMICZNE JACEK HEINRICH KARINA FURMAN MACIEJ FURMAN SPÓŁKA JAWNA,CENTRUM HOTELARSKO-GASTRONOMICZNE JACEK HEINRICH KARINA FURMAN MACIEJ FURMAN,9950185042.0,300525874.0,,,,,,,,,,,,,,,,CENTRUM HOTELARSKO - GASTRONOMICZNE JACEK HEINRICH KARINA FURMAN MACIEJ FURMAN SPÓŁKA JAWNA,377051
Centrum Koncertowe A2 spółka z ograniczoną odpowiedzialnością,Wrocław,53-610,2017-03-01,665975,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,CENTRUM KONCERTOWE A2 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,CENTRUM KONCERTOWE A2,8971833907.0,366366950.0,True,,Tomasz Nowacki,,,,,,,,,,,,,Centrum Koncertowe A2 spółka z ograniczoną odpowiedzialnością,664500
Cezary Malinowski,Zwoleń,26-700,2002-01-29,84743,SPÓŁKA JAWNA,"ZAKŁAD GARBARSKI ""MALTAN"" CEZARY MALINOWSKI, RYSZARD MALINOWSKI, JUSTYNA KATARZYNA RUSINOWSKA SPÓŁKA JAWNA","ZAKŁAD GARBARSKI ""MALTAN"" CEZARY MALINOWSKI, RYSZARD MALINOWSKI, JUSTYNA KATARZYNA RUSINOWSKA",8110003328.0,6235164.0,,,,,,,,True,,,,,,,,Cezary Malinowski,9042
CRAFT EVENT Spółka z ograniczoną odpowiedzialnością,Wrocław,53-624,2018-03-02,721894,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,CRAFT EVENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,CRAFT EVENT,8971852980.0,369634463.0,True,,Kamil Wysoczański,,,,,,,,,,,,,CRAFT EVENT Spółka z ograniczoną odpowiedzialnością,92612
